Product code;Product name;List price;Price;Sale;Product line;Quantity;Downloadable;Category;Secondary categories;Description;Features;;Meta keywords;Meta description;Search words;Page title;
RGI-0060;Термос Bullet, 0,5 л [93-TE-B-7-500];370;370;0;Bullet;100;0;Термосы///Термосы с узким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-B-7-500]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[0,5]; Объем: T[0,5 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Bullet, 0,5 л; 
RGI-0061;Термос Bullet, 0,7 л [93-TE-B-7-700];510;510;0;Bullet;100;0;Термосы///Термосы с узким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-B-7-700]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[0,7]; Объем: T[0,7 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Bullet, 0,7 л; 
RGI-0063;Термос Bullet цветной, 1 л [93-TE-B-8-1000R];690;690;0;Bullet;100;0;Термосы///Термосы с узким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-B-8-1000R]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[1]; Объем: T[1 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Bullet цветной, 1 л; 
RGI-0065;Термос Bullet цветной, 0,5 л [93-TE-B-8-500B];450;450;0;Bullet;100;0;Термосы///Термосы с узким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-B-8-500B]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[0,5]; Объем: T[0,5 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Bullet цветной, 0,5 л; 
RGI-0069;Набор Bullet (термос, 0,5 л и 2 кружки) [93-TE-B-S-01];680;680;0;Bullet;100;0;Термосы///Термосы с узким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-B-S-01]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[]; Объем: T[]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Набор Bullet (термос, 0,5 л и 2 кружки); 
RGI-0070;Набор Bullet (термос, 0,5 и термокружка) [93-TE-B-S-02];870;870;0;Bullet;100;0;Термосы///Термосы с узким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-B-S-02]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[]; Объем: T[]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Набор Bullet (термос, 0,5 и термокружка); 
RGI-0071;Термос Fitness, 0,48 л [93-TE-FI-1-480B];410;410;0;Fitness;100;0;Термосы///Термосы с узким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-FI-1-480B]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[0,48]; Объем: T[0,48 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Fitness, 0,48 л; 
RGI-0072;Термос Fitness, 0,48 л [93-TE-FI-1-480R];410;410;0;Fitness;100;0;Термосы///Термосы с узким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-FI-1-480R]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[0,48]; Объем: T[0,48 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Fitness, 0,48 л; 
RGI-0073;Термос Tourist, 0,75 л [93-TE-T-1-750];500;500;0;Tourist;100;0;Термосы///Термосы с широким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-T-1-750]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[0,75]; Объем: T[0,75 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Tourist, 0,75 л; 
RGI-0074;Термос Tourist, 1 л [93-TE-T-1-1000];580;580;0;Tourist;100;0;Термосы///Термосы с широким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-T-1-1000]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[1]; Объем: T[1 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Tourist, 1 л; 
RGI-0075;Термос Tourist, 1,2 л [93-TE-T-1-1200];640;640;0;Tourist;100;0;Термосы///Термосы с широким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-T-1-1200]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[1,2]; Объем: T[1,2 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Tourist, 1,2 л; 
RGI-0078;Набор Tourist (термос, 1 л и 2 кружки) [93-TE-T-S-01];990;990;0;Tourist;100;0;Термосы///Термосы с широким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-T-S-01]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[]; Объем: T[]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Набор Tourist (термос, 1 л и 2 кружки); 
RGI-0079;Термос Universal, 1 л [93-TE-U-1-1000];710;710;0;Universal;100;0;Термосы///Термосы с широким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-U-1-1000]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[1]; Объем: T[1 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Universal, 1 л; 
RGI-0080;Термос Universal, 1,2 л [93-TE-U-1-1200];770;770;0;Universal;100;0;Термосы///Термосы с широким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-U-1-1200]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[1,2]; Объем: T[1,2 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Universal, 1,2 л; 
RGI-0081;Термос Universal, 1,5 л [93-TE-U-1-1500];820;820;0;Universal;100;0;Термосы///Термосы с широким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-U-1-1500]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[1,5]; Объем: T[1,5 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Universal, 1,5 л; 
RGI-0082;Термос Universal, 1,8 л [93-TE-U-1-1800];870;870;0;Universal;100;0;Термосы///Термосы с широким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-U-1-1800]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[1,8]; Объем: T[1,8 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Universal, 1,8 л; 
